FILESTATUS,CEER,STATEDIST,GRAD YR
ACCEPTED,546,OH03,2000
ACCEPTED,507,CO05,2000
ACCEPTED,554,TN03,2000
ACCEPTED,469,PA01,2000
ACCEPTED,669,CA25,2000
ACCEPTED,552,DEAL,2000
ACCEPTED,657,GA04,2000
ACCEPTED,529,TX21,2000
ACCEPTED,422,TX08,2000
ACCEPTED,528,SC01,2000
ACCEPTED,446,NC06,2000
ACCEPTED,537,IL11,2000
ACCEPTED,574,NY20,2000
ACCEPTED,547,NJ01,2000
ACCEPTED,558,IL10,2000
ACCEPTED,509,NV02,2000
ACCEPTED,577,IL11,2000
ACCEPTED,551,MO09,2000
ACCEPTED,566,HI01,2000
ACCEPTED,508,FL11,2000
ACCEPTED,500,TX30,2000
ACCEPTED,594,OH11,2000
ACCEPTED,590,VA10,2000
ACCEPTED,648,NY08,2000
ACCEPTED,560,VA04,2000
ACCEPTED,529,VA01,2000
ACCEPTED,459,CA41,2000
ACCEPTED,583,DCZZ,2000
ACCEPTED,601,OH08,2000
ACCEPTED,533,MI03,2000
ACCEPTED,547,AL04,2000
ACCEPTED,629,CA47,2000
ACCEPTED,561,OH01,2000
ACCEPTED,524,TX11,2000
ACCEPTED,636,TX09,2000
ACCEPTED,578,GA04,2000
ACCEPTED,527,OH02,2000
ACCEPTED,510,MD08,2000
ACCEPTED,559,VA04,2000
ACCEPTED,605,MD05,2000
ACCEPTED,568,SC02,2000
ACCEPTED,555,NJZZ,2000
ACCEPTED,550,IL13,2000
ACCEPTED,602,MI16,2000
ACCEPTED,675,WA09,2000
ACCEPTED,549,FL01,2000
ACCEPTED,601,NJ02,2000
ACCEPTED,606,NJ04,2000
ACCEPTED,590,NJ03,2000
ACCEPTED,585,OH11,2000
ACCEPTED,541,CA10,2000
ACCEPTED,512,LA02,2000
ACCEPTED,540,MD02,2000
ACCEPTED,642,WI06,2000
ACCEPTED,535,OH19,2000
ACCEPTED,549,MD03,2000
ACCEPTED,552,LA06,2000
ACCEPTED,546,PA01,2000
ACCEPTED,502,NE02,2000
ACCEPTED,499,AL07,2000
ACCEPTED,639,VA04,2000
ACCEPTED,499,GA03,2000
ACCEPTED,508,TX02,2000
ACCEPTED,542,NC12,2000
ACCEPTED,535,NY07,2000
ACCEPTED,558,VA11,2000
ACCEPTED,544,IL15,2000
ACCEPTED,533,IL11,2000
ACCEPTED,514,MI02,2000
ACCEPTED,557,MO01,2000
ACCEPTED,583,OH11,2000
ACCEPTED,525,TX23,2000
ACCEPTED,603,TX11,2000
ACCEPTED,578,TN03,2000
ACCEPTED,509,TN03,2000
ACCEPTED,598,MI06,2000
ACCEPTED,454,FL03,2000
ACCEPTED,624,NJ08,2000
ACCEPTED,567,VA08,2000
ACCEPTED,531,NC07,2000
ACCEPTED,577,PA17,2001
ACCEPTED,603,AL03,2001
ACCEPTED,620,NY26,2001
ACCEPTED,600,IL09,2001
ACCEPTED,500,CA22,2001
ACCEPTED,604,GA05,2001
ACCEPTED,562,MD08,2001
ACCEPTED,448,OH03,2001
ACCEPTED,521,NJ08,2001
ACCEPTED,537,TN07,2001
ACCEPTED,529,LA02,2001
ACCEPTED,584,CT06,2001
ACCEPTED,483,VA04,2001
ACCEPTED,534,FL20,2001
ACCEPTED,515,TX14,2001
ACCEPTED,529,MD05,2001
ACCEPTED,565,VA01,2001
ACCEPTED,560,CA37,2001
ACCEPTED,571,CA52,2001
ACCEPTED,517,GA02,2001
ACCEPTED,466,PA18,2001
ACCEPTED,679,TN07,2001
ACCEPTED,524,NY20,2001
ACCEPTED,529,WA08,2001
ACCEPTED,610,NJZZ,2001
ACCEPTED,482,MD08,2001
ACCEPTED,558,NJ06,2001
ACCEPTED,533,NY08,2001
ACCEPTED,538,MD04,2001
ACCEPTED,496,CA45,2001
ACCEPTED,581,CA50,2001
ACCEPTED,482,GA07,2001
ACCEPTED,457,NY07,2001
ACCEPTED,518,TX30,2001
ACCEPTED,503,CA40,2001
ACCEPTED,583,OH15,2001
ACCEPTED,572,GA05,2001
ACCEPTED,552,TX30,2001
ACCEPTED,513,OH11,2001
ACCEPTED,545,GA10,2001
ACCEPTED,525,PA19,2001
ACCEPTED,505,SC01,2001
ACCEPTED,521,TX02,2001
