"IfAllWereSectioned","Ability","sectionedmean","sectionedsd"
1,"0",0.912857142857143,0.041196095440829
1,"1",0.906428571428571,0.0399422517639033
2,"0",0.886071428571429,0.0461514188298116
2,"1",0.867857142857143,0.0396286872172115
3,"0",0.869285714285714,0.0469691193264532
3,"1",0.894642857142857,0.0479637931314855
4,"0",0.854285714285714,0.0494221889061475
4,"1",0.844285714285714,0.0403306763266796
5,"0",0.852142857142857,0.0514477760165493
5,"1",0.851428571428571,0.0547246784577301
6,"0",0.796428571428571,0.0574375030837632
6,"1",0.76,0.0528565669940551
7,"0",0.753571428571429,0.0647529881333879
7,"1",0.749285714285714,0.0524488371033689
8,"0",0.726428571428571,0.0514035699126571
8,"1",0.708571428571429,0.0624065957746591
9,"0",0.67,0.0553633268435313
9,"1",0.701428571428571,0.0716732368856772
