"","x","y","year","month","day","yearcount","monthactual","alt"
"1",11,-0.322175732217573,"05","01",11,11,"Jan",1
"2",13,-0.395299145299145,"05","01",13,13,"Jan",1
"3",17,-0.413793103448276,"05","01",17,17,"Jan",1
"4",21,-0.358757062146893,"05","01",21,21,"Jan",1
"5",25,-0.30968622100955,"05","01",25,25,"Jan",1
"6",31,-0.312762973352034,"05","01",31,31,"Jan",1
"7",41,-0.306799336650083,"05","02",10,41,"Feb",1
"8",45,-0.284578696343402,"05","02",14,45,"Feb",1
"9",47,-0.421511627906977,"05","02",16,47,"Feb",1
"10",49,-0.489566613162119,"05","02",18,49,"Feb",1
"11",53,-0.343835616438356,"05","02",22,53,"Feb",1
"12",55,-0.362126245847176,"05","02",24,55,"Feb",1
"13",59,-0.437819420783646,"05","02",28,59,"Feb",1
"14",73,-0.423622047244094,"05","03",11,73,"Mar",1
"15",77,-0.419773095623987,"05","03",15,77,"Mar",1
"16",79,-0.419152276295133,"05","03",17,79,"Mar",1
"17",83,-0.283322170127261,"05","03",21,83,"Mar",1
"18",85,-0.355852317360566,"05","03",23,85,"Mar",1
"19",87,-0.279579316389132,"05","03",25,87,"Mar",1
"20",91,-0.264264264264264,"05","03",29,91,"Mar",1
"21",93,-0.339673913043478,"05","03",31,93,"Mar",1
"22",105,-0.377581120943953,"05","04",12,105,"Apr",1
"23",107,-0.382228490832158,"05","04",14,107,"Apr",1
"24",111,-0.209003215434084,"05","04",18,111,"Apr",1
"25",113,-0.405405405405405,"05","04",20,113,"Apr",1
"26",115,-0.494830132939439,"05","04",22,115,"Apr",1
"27",119,-0.291172595520422,"05","04",26,119,"Apr",1
"28",121,-0.339869281045752,"05","04",28,121,"Apr",1
"29",135,-0.448148148148148,"05","05",11,135,"May",1
"30",137,-0.359550561797753,"05","05",13,137,"May",1
"31",141,-0.474515434314429,"05","05",17,141,"May",1
"32",143,-0.394453004622496,"05","05",19,143,"May",1
"33",147,-0.0717703349282297,"05","05",23,147,"May",1
"34",149,-0.234248788368336,"05","05",25,149,"May",1
"35",151,-0.486413043478261,"05","05",27,151,"May",1
"36",155,-0.172312223858616,"05","05",31,155,"May",1
"37",165,-0.258119658119658,"05","06",10,165,"Jun",1
"38",169,-0.200710479573712,"05","06",14,169,"Jun",1
"39",171,-0.412199630314233,"05","06",16,171,"Jun",1
"40",175,-0.292207792207792,"05","06",20,175,"Jun",1
"41",177,-0.384615384615385,"05","06",22,177,"Jun",1
"42",179,-0.23015873015873,"05","06",24,179,"Jun",1
"43",183,-0.401162790697674,"05","06",28,183,"Jun",1
"44",185,-0.270903010033445,"05","06",30,185,"Jun",1
"45",197,-0.331325301204819,"05","07",11,197,"Jul",1
"46",199,-0.457413249211356,"05","07",13,199,"Jul",1
"47",201,-0.207142857142857,"05","07",15,201,"Jul",1
"48",205,-0.217910447761194,"05","07",19,205,"Jul",1
"49",207,-0.238993710691824,"05","07",21,207,"Jul",1
"50",211,-0.0165016501650165,"05","07",25,211,"Jul",1
"51",213,-0.424802110817942,"05","07",27,213,"Jul",1
"52",215,-0.274924471299094,"05","07",29,215,"Jul",1
"53",227,-0.308584686774942,"05","08",10,227,"Aug",1
