pn_id,usma_grad_yr,ma100,ma103,ma104,ma153,ma205,ma255,ma206,core_avg,cqpa,ccps,timeframe
C06858855,2019,,0.90891,0.89033333,,,,0.887,0.89541444,3.206,3.00795007,17-1
C61151535,2019,,0.904735,0.8175,,,,0.80135,0.841195,3.034,3.03295279,17-1
C34254296,2018,,0.81842105,0.88302,,0.7485,,0.80322,0.81329026,2.77,2.63210559,17-1
C35869243,2019,,0.86442,0.81033333,,,,0.75917,0.81130777,2.918,2.71379447,17-1
C79746617,2019,,,,0.66192,0.8534,,0.82143,0.77891666,2.324,2.04692698,17-1
C13622872,2019,,,,0.8481,,0.85132313,0.851,0.85014104,3.286,2.87902069,17-1
C61220915,2019,,0.73985,0.7315,,,,0.65538,0.70891,2.025,2.18013072,17-1
C85437410,2019,,0.78759898,0.76327333,,0.7501,,0.769,0.76749307,2.804,2.64123297,17-1
C27967902,2019,,0.950915,0.94204666,,,,0.8963,0.92975388,3.661,3.10044122,17-1
C87564463,2019,,0.895225,0.90933333,,0.86067,,0.8175,0.87068208,3.216,3.11477017,17-1
C28929017,2019,,0.70015,0.71352666,,,,0.75637,0.72334888,2.284,2.61003494,17-1
C18196712,2019,,,,0.93401522,,0.95218271,0.91875,0.93498264,3.682,3.24538469,17-1
C56012543,2019,,0.866785,0.816,,,,0.85813,0.84697166,2.894,2.59867954,17-1
C80465890,2019,,0.88814,0.78536666,,,,0.855,0.84283555,3.161,2.87518001,17-1
C84947958,2019,,0.769765,0.80775942,,,,0.67256,0.75002814,2.45,2.34346318,17-1
C38000623,2019,,0.86,0.80116666,,,,0.7896,0.81692222,2.881,2.88345814,17-1
C97810344,2018,,0.90125,0.93261,,0.9335,,0.862,0.90734,3.585,3.37669587,17-1
C02607438,2019,,0.96641,0.91022,,,,0.935,0.93721,3.592,3.28304958,17-1
C48278654,2019,,,,0.955985,,0.9420072,0.953,0.95033073,3.936,3.41167855,17-1
C49938456,2019,,,,0.936705,,0.95746624,0.9725,0.95555708,3.841,3.22529864,17-1
C63056351,2019,,0.924,0.96066666,,,,0.90751,0.93072555,3.776,3.1498692,17-1
C87097175,2019,,0.936,0.93375333,,,,0.925,0.93158444,3.326,2.96114016,17-1
C05734755,2019,,0.887225,0.83166666,,,,0.769,0.82929722,2.625,2.41432738,17-1
C97210183,2019,,0.797,0.71669666,,,,0.79718,0.77029222,0,0,17-1
C22755301,2019,,,,0.915975,,0.89896039,0.96727,0.92740179,3.508,3.09525013,17-1
C36734349,2019,,,,0.93857,,0.94846984,0.89802,0.92835328,3.792,3.28576827,17-1
C82392995,2019,,0.92512,0.90787333,,,,0.841,0.89133111,2.893,2.70944262,17-1
C20464355,2019,,0.9005,0.88383333,,,,0.81646,0.86693111,3.15,2.89622045,17-1
C78476005,2019,,0.81899,0.75976666,,,,0.8059,0.79488555,2.571,2.47929454,17-1
C81877059,2019,,0.84762,0.94268666,,,,0.84063,0.87697888,3.158,2.91247559,17-1
C54584849,2019,,0.9666,0.98311666,,0.98571428,,0.9305,0.96648273,4.14,3.47075868,17-1
C45526730,2019,,0.88728,0.84506666,,,,0.844,0.85878222,3.235,3.03413463,17-1
C34773398,2019,,,,0.85227272,,0.90143564,0.929,0.89423612,3.563,3.32005048,17-1
C36016373,2019,,,,0.82232,,0.80621962,0.79201,0.80684987,2.971,2.72948122,17-1
C05173066,2019,,0.807345,0.83713333,,,,0.72424,0.78957277,2.637,2.89243555,17-1
C45067460,2019,,0.826,0.68766666,,,,0.823,0.77888888,2.665,2.5110693,17-1
C55064970,2019,,,,0.93977,,0.96888838,0.94894,0.95253279,3.727,3.21161866,17-1
C60379072,2019,,0.7935,0.76156333,,,,0.75741,0.77082444,2.577,2.55132842,17-1
C13011444,2019,,0.794,0.7825,,,,0.86058,0.81236,2.914,2.76657915,17-1
C56109594,2019,,0.958675,,,0.9795,,0.94722,0.96179833,3.653,2.9679451,17-1
C91691569,2019,,,,0.9835,,0.99549954,0.984,0.98766651,4.219,3.72781181,17-1
C42940223,2019,,,,0.926075,,0.95294779,0.963,0.94734093,3.932,3.4983387,17-1
C66625880,2019,,0.84825,0.87133333,,,,0.762,0.82719444,2.756,2.43769121,17-1
C79811546,2018,,,,,,,0.869,0.869,3.184,0,17-1
C41818667,2019,,0.86387,0.84794333,,,,0.69639,0.80273444,2.948,2.67380929,17-1
C95851323,2019,,0.86825,0.953,,,,0.85,0.89041666,3.091,2.74728751,17-1
C14689190,2019,,0.788645,0.8325,,,,0.71741,0.77951833,2.725,2.5093224,17-1
C69824072,2019,,,,0.94861,,0.91449144,0.925,0.92936714,3.563,3.02919769,17-1
C27792904,2019,,0.867035,0.77516666,,,,0.8,0.81406722,3.012,2.87203956,17-1
C72393413,2019,,0.8985,,,0.93975,,0.9435,0.92725,3.865,3.45456123,17-1
C09249589,2019,,,,0.91386,,0.92119261,0.93368,0.92291087,3.601,3.15355015,17-1
C71153615,2019,,,,0.970425,,0.97884788,0.994,0.98109096,4.226,3.76368165,17-1
C32460816,2018,,0.70075,0.784,,0.728,,0.7045,0.7293125,2.246,1.98360443,17-1
C15981160,2019,,0.974515,0.97033333,,0.9735,,0.9365,0.96371208,4.083,3.56069255,17-1
C50019543,2019,,0.756195,0.76233333,,,,0.758,0.75884277,2.43,2.49465632,17-1
C95272100,2019,,0.866715,0.87630666,,,,0.82155,0.85485722,3.156,2.78710556,17-1
C93996744,2019,,0.915715,,,0.9345,,0.87213,0.90744833,3.275,2.77691984,17-1
C25202543,2019,,0.817025,0.77416666,,,,0.71623,0.76914055,2.629,2.60665917,17-1
C08198580,2019,,,,0.939975,,0.98087308,0.956,0.95894936,4.055,3.56832719,17-1
C38878978,2019,,0.875,0.95133333,,,,0.88208,0.90280444,3.374,3.13541412,17-1
C13891509,2019,,0.70641,0.6561,,,,0.66051282,0.67434094,2.142,2.43329787,17-1
C86830115,2019,,0.760995,0.76652333,,,,0.704,0.74383944,2.644,2.59529996,17-1
C59880616,2019,,0.935,0.95488215,,,,0.925,0.93829405,3.534,2.97032499,17-1
C37022480,2018,0.9135,,0.929,,0.8976,,0.8837,0.90595,3.238,2.97366261,17-1
C32647452,2019,,0.863125,0.76646,,,,0.81319,0.81425833,2.669,2.57172799,17-1
C39489761,2019,,,,0.9574,,0.96368136,0.982,0.96769378,4.115,3.45336795,17-1
C42747320,2019,,0.89154,0.80226666,,,,0.8685,0.85410222,3.399,3.01040983,17-1
C41039451,2019,,0.87765,0.8386,,,,0.8023,0.83951666,3.221,2.86117363,17-1
C20528450,2019,,0.923995,0.92441541,,0.9075,,0.919,0.9187276,3.362,2.85909414,17-1
C38303077,2019,,,,0.93169,,0.95819081,0.96244,0.9507736,3.958,3.24773097,17-1
C83999540,2019,,0.756845,0.70635809,,,,0.727,0.73006769,1.65,1.61046374,17-1
C76757467,2019,,0.896015,0.9375,,,,0.87929,0.90426833,3.498,2.88133097,17-1
C31035529,2019,,0.8876,0.88633333,,,,0.81598,0.86330444,2.91,2.64216757,17-1
C50827016,2019,,0.655975,0.73837,,,,0.5475,0.69106518,1.634,1.85631132,17-1
C26432220,2019,,,,0.78116,,0.78772277,0.864,0.81096092,2.677,2.67557526,17-1
C23440955,2019,,,,0.93589,,0.96110357,0.916,0.93766452,3.775,3.29077601,17-1
C54729628,2019,,0.8225,0.80059,,,,0.762,0.79503,2.966,2.6901474,17-1
C91691860,2019,,0.91475,0.91623333,,,,0.83764,0.88954111,3.043,2.5199151,17-1
C24223394,2019,,0.8585,0.851,,,,0.8115,0.84033333,2.887,2.75161934,17-1
C48954204,2019,,0.86634,0.8215,,,,0.857,0.84828,2.997,2.82352233,17-1
C70806409,2019,,0.9,0.92522333,,,,0.64210526,0.82244286,3.867,0,17-1
C82703619,2019,,,,0.85175879,,0.8490954,0.91187,0.87090806,3.483,2.93115568,17-1
C51096958,2019,,0.887965,0.84936666,,,,0.851,0.86277722,3.443,3.23190308,17-1
C68041800,2018,,0.91675,0.76742333,,0.74185463,,0.8255,0.81288199,2.891,2.59008241,17-1
C08144310,2019,,0.77871,0.701,,,,0.77575,0.75182,2.565,2.54694319,17-1
C94592410,2019,,0.71925,0.8275,,,,0.72307,0.75660666,2.652,2.3752203,17-1
C48875226,2019,,,,0.832435,,0.87948694,0.89742,0.86978064,3.098,2.89310527,17-1
C06795632,2019,,0.882105,0.83290666,,,,0.845,0.85333722,2.91,2.76340365,17-1
C05322854,2019,,0.87228,0.85533333,,,,0.86555,0.86438777,3.044,2.76833773,17-1
C14418782,2019,,0.8451,0.79766666,,,,0.68039,0.79938666,2.512,2.34269428,17-1
C96487812,2019,,,,0.946585,,0.98145635,0.95917,0.96240378,3.923,3.49029517,17-1
C31460571,2018,,0.918875,0.96375,,0.93155,,0.86652,0.92017375,3.449,2.77857971,17-1
C09751477,2019,,0.767425,0.69928666,,,,0.63469387,0.71866388,2.34,2.15547061,17-1
C32870739,2019,,,,0.926125,,0.93924392,0.951,0.93878964,3.751,3.31856894,17-1
C60857540,2018,,0.832365,0.86997,,0.8003,,0.803,0.82640875,2.404,2.44372988,17-1
C62107808,2019,,0.740705,0.58753768,,,,0.62451,0.67897853,2.216,2.25934744,17-1
C21025906,2019,,0.93194,0.91516666,,,,0.87955,0.90888555,3.381,2.80873418,17-1
C64578469,2020,,,,,,,0.904,0.904,3.375,2.94578218,17-1
C96861743,2019,,,,0.882605,,0.89568856,0.8746,0.88429785,3.19,2.96026134,17-1
