Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Completely Revised and Updated),The Time-Tested Strategy for Successful Investing,,,Burton G. Malkiel,"Malkiel, Burton G.",,,,W. W. Norton,1/9/2011,2011,Business & Economics,,,"One of the ""few great investment books"" (Andrew Tobias) ever written.  A Wall Street Journal Weekend Investor ""Best Books for Investors"" Pick Especially in the wake of the financial meltdown, readers will hunger for Burton G. Malkiel’s reassuring, authoritative, gimmick-free, and perennially best-selling guide to investing. With 1.5 million copies sold, A Random Walk Down Wall Street has long been established as the first book to purchase when starting a portfolio. In addition to covering the full range of investment opportunities, the book features new material on the Great Recession and the global credit crisis as well as an increased focus on the long-term potential of emerging markets. With a new supplement that tackles the increasingly complex world of derivatives, along with the book’s classic life-cycle guide to investing, A Random Walk Down Wall Street remains the best investment guide money can buy.",,,,,,,,496,,,,,English,,,,9.78039E+12,0,0,,Unread,,,,,,,0,,,,,,,,,,O8x1YpBp6WYC,Personal,0,,
Ballet School,,,,"Brett McLaughlin, Gary Pollice, David West","McLaughlin, Brett",,,,DK Publishing,,2003,,,,,,,,,,,,,,,,,,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,https://img1.doubanio.com/view/subject/l/public/s24419759.jpg,
Design Patterns,Elements of Reusable Object-Oriented Software,,,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Gamma, Erich",,,,Pearson Education,10/30/1994,1994,Computers,,,"Capturing a wealth of experience about the design of object-oriented software, four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented, these 23 patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themselves. The authors begin by describing what patterns are and how they can help you design object-oriented software. They then go on to systematically name, explain, evaluate, and catalog recurring designs in object-oriented systems. With Design Patterns as your guide, you will learn how these important patterns fit into the software development process, and how you can leverage them to solve your own design problems most efficiently. Each pattern describes the circumstances in which it is applicable, when it can be applied in view of other design constraints, and the consequences and trade-offs of using the pattern within a larger design. All patterns are compiled from real systems and are based on real-world examples. Each pattern also includes code that demonstrates how it may be implemented in object-oriented programming languages like C++ or Smalltalk.",,,,,,,,457,,,,,English,,,,9.78032E+12,0,0,,Unread,,,,,,,0,,,,,,,,,,6oHuKQe3TjQC,Professional,0,,
Fermat's Enigma,The Epic Quest to Solve the World's Greatest Mathematical Problem,,,Simon Singh,"Singh, Simon",,,,Paw Prints,4/8/2009,2009,Mathematics,,,"A national best-seller traces the quest of scientists around the world to solve the theorem devised by seventeenth-century French mathematician Pierre de Fermat, a story of extraordinary human emotion, ambition, and desperation. Reprint.",,,,,,,,336,,,,,English,,,,9.78144E+12,0,0,,Unread,,,,,,,0,,,,,,,,,,uaOQPwAACAAJ,Personal,0,,
Good Night Yoga,A Pose-by-pose Bedtime Story,,,Mariam Gates,"Gates, Mariam",,,,Sounds True,,2015,Juvenile Fiction,,,"Kids love yoga--and it's great for them, so much so that the President's Council has added the practice to the fitness activities in the annual President's Challenge. For parents and caregivers looking for a fun and effective new routine for bedtime, innovative educator Mariam Gates presents Good Night Yoga, a playful yet wholly practical book for preparing for sleep.  This beautifully illustrated, full-color book tells the story of the natural world as it closes down for the night, while teaching children a simple flow of yoga postures inspired by their favorite characters from nature. Moving from ""Sun Breath"" to ""Cloud Gathering"" to ""Ladybug & Butterfly"" and more, readers learn techniques for self-soothing, relaxing the body and mind, focusing attention, and other skills that will support restful sleep and improve overall confidence and well-being.",,,,,,,,36,,,,,English,,,,9.78162E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,ARSUoAEACAAJ,,0,,
Happy Like Soccer,,,,"Maribeth Boelts, Lauren Castillo","Boelts, Maribeth",,,,Candlewick Press,,2012,Juvenile Fiction,,,"A warmhearted story about a young girl who finds a way to bring together the two things that make her most happy- soccer and her family.  Nothing makes Sierra happy like soccer. Her shoes have flames as she spins the ball down the spread-out sea of grass. But nothing makes her sad like soccer, too, because the restaurant where her auntie works is busy on game days and she can’t take time off to watch Sierra play. On game days, her auntie helps Sierra get ready and tells her, ""Play hard and have fun."" And Sierra does, but she can’t help wishing she had someone there to root for her by name, and not just by the number on her uniform. With honesty and rare subtlety, author Maribeth Boelts and illustrator Lauren Castillo portray an endearing character in a moving, uplifting story that touches on the divides children navigate every day- and remind us that everyone needs someone to cheer them on from the sidelines.",,,,,,,,32,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,YK-8mE0z1u8C,,0,,
Head First Object-Oriented Analysis and Design,A Brain Friendly Guide to OOA&D,,,"Brett McLaughlin, Gary Pollice, David West","McLaughlin, Brett",,,,"O'Reilly Media, Inc.",11/26/2006,2006,Computers,,,"""Head First Object Oriented Analysis and Design is a refreshing look at subject of OOAD. What sets this book apart is its focus on learning. The authors have made the content of OOAD accessible, usable for the practitioner.""  Ivar Jacobson, Ivar Jacobson Consulting  ""I just finished reading HF OOA&D and I loved it! The thing I liked most about this book was its focus on why we do OOA&D-to write great software!""  Kyle Brown, Distinguished Engineer, IBM  ""Hidden behind the funny pictures and crazy fonts is a serious, intelligent, extremely well-crafted presentation of OO Analysis and Design. As I read the book, I felt like I was looking over the shoulder of an expert designer who was explaining to me what issues were important at each step, and why.""  Edward Sciore, Associate Professor, Computer Science Department, Boston College   Tired of reading Object Oriented Analysis and Design books that only makes sense after you're an expert? You've heard OOA&D can help you write great software every time-software that makes your boss happy, your customers satisfied and gives you more time to do what makes you happy.  But how?  Head First Object-Oriented Analysis & Design shows you how to analyze, design, and write serious object-oriented software: software that's easy to reuse, maintain, and extend; software that doesn't hurt your head; software that lets you add new features without breaking the old ones. Inside you will learn how to:  Use OO principles like encapsulation and delegation to build applications that are flexible Apply the Open-Closed Principle (OCP) and the Single Responsibility Principle (SRP) to promote reuse of your code Leverage the power of design patterns to solve your problems more efficiently Use UML, use cases, and diagrams to ensure that all stakeholders are communicating clearly to help you deliver the right software that meets everyone's needs.   By exploiting how your brain works, Head First Object-Oriented Analysis & Design compresses the time it takes to learn and retain complex information. Expect to have fun, expect to learn, expect to be writing great software consistently by the time you're finished reading this!",,,,,,,,600,,,,,English,,,,9.7806E+12,0,0,,Unread,,,,,,,0,,,,,,,,,,#NAME?,Professional,0,,
How Animals Sleep,,,,Emily C. Dawson,"Dawson, Emily C.",,,,Amicus,7/1/2010,2010,Juvenile Nonfiction,,,"""Compares the different ways various animals sleep, including lying down, standing up, hanging, and more. Includes comprehension activity""--",,,,,,,,24,,,,,English,,,,9.78161E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,jxv9RAAACAAJ,,0,,
If You Give a Mouse a Brownie,,,,Laura Numeroff,"Numeroff, Laura",,,,HarperCollins,10/18/2016,2016,Juvenile Fiction,,,"Mouse is back in this ninth picture book in the beloved #1 New York Times bestselling If You Give... series! If you give a mouse a brownie, he's going to ask for some ice cream to go with it. When you give him the ice cream, he'll probably ask you for a spoon. He'll start drumming on the table. Drumming will get him so excited he'll want to start a band. . . .Mouse makes his long-anticipated return to the spotlight in this winning picture book from the acclaimed team of Laura Numeroff and Felicia Bond. Fans of If You Give a Mouse a Cookie won't want to miss this!",,,,,,,,32,,,,,English,,,,9.78006E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,iKj5HAAACAAJ,,0,,
If You Were Born a Kitten,,,,Marion Dane Bauer,"Bauer, Marion Dane",,,,Simon & Schuster Books for Young Readers,10/1/1997,1997,Juvenile Fiction,,,"Twelve kinds of animal babies swim, snuggle, slither, and scoot through this enchanting picture book that celebrates the miracle of birth, the magic of childhood, and you...the most precious baby of all.",,,,,,,,32,,,,,English,,,,9.78069E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,VIp1QgAACAAJ,,0,,
Little Tug,,,,Stephen Savage,"Savage, Stephen",,,,Macmillan,10/2/2012,2012,Juvenile Fiction,,,"Little Tug may not be very tall or very fast, but when the big ships in the harbor need help, they know they can count on him to be there with a push, a pull, and a ride to safety. But what happens when Little Tug gets tired? This simple, endearing book with a charming retro feel and an emotional punch is the first book for Roaring Brook Press by the acclaimed author of Polar Bear Night (New York Times Best Illustrated book) and Where's Walrus?",,,,,,,,32,,,,,English,,,,9.7816E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,SDKLk6vWs1EC,,0,,
