"Away","Home","AwayScore","HomeScore","week","Winner","Loser","Delta"
"Raw and Savage","Team Shank a Potamus",112.24,130.66,"1","Team Shank a Potamus","Raw and Savage",18.42
"Team Shank a Potamus","Gosset's T-Down",119.3,142.74,"2","Gosset's T-Down","Team Shank a Potamus",23.44
"Team Shank a Potamus","Viking Joe Lindquist",104.24,73.68,"3","Team Shank a Potamus","Viking Joe Lindquist",30.56
"2-2-2 Mega-H-Ertz","Team Shank a Potamus",147.18,130.88,"4","2-2-2 Mega-H-Ertz","Team Shank a Potamus",16.3
"Team Shank a Potamus","Epsilon Ballers",77.94,128.98,"5","Epsilon Ballers","Team Shank a Potamus",51.04
"'R'm Chair Quarterback","Team Shank a Potamus",124.06,91.52,"6","'R'm Chair Quarterback","Team Shank a Potamus",32.54
"Team Shank a Potamus","Team Guns N' Rosas",81.84,101.2,"7","Team Guns N' Rosas","Team Shank a Potamus",19.36
"Green Baye's Theorem","Team Shank a Potamus",140.96,117.46,"8","Green Baye's Theorem","Team Shank a Potamus",23.5
"Team Shank a Potamus","Raw and Savage",97.56,67.56,"9","Team Shank a Potamus","Raw and Savage",30
"Gosset's T-Down","Team Shank a Potamus",131.66,99.82,"10","Gosset's T-Down","Team Shank a Potamus",31.84
"Viking Joe Lindquist","Team Shank a Potamus",109.4,121.28,"11","Team Shank a Potamus","Viking Joe Lindquist",11.88
"Team Shank a Potamus","2-2-2 Mega-H-Ertz",110.58,95.34,"12","Team Shank a Potamus","2-2-2 Mega-H-Ertz",15.24
"Team Shank a Potamus","Las Vegas Radians",94.04,104.92,"13","Las Vegas Radians","Team Shank a Potamus",10.88
"Team Shank a Potamus","Las Vegas Radians",93.92,90.26,"14","Team Shank a Potamus","Las Vegas Radians",3.66
"Viking Joe Lindquist","'R'm Chair Quarterback",116.68,119.04,"1","'R'm Chair Quarterback","Viking Joe Lindquist",2.36
"'R'm Chair Quarterback","Green Baye's Theorem",108.3,90.84,"2","'R'm Chair Quarterback","Green Baye's Theorem",17.46
"Epsilon Ballers","'R'm Chair Quarterback",103.9,110.44,"3","'R'm Chair Quarterback","Epsilon Ballers",6.53999999999999
"Team Guns N' Rosas","'R'm Chair Quarterback",110.84,82.54,"4","Team Guns N' Rosas","'R'm Chair Quarterback",28.3
"'R'm Chair Quarterback","Las Vegas Radians",101.7,116.84,"5","Las Vegas Radians","'R'm Chair Quarterback",15.14
"Gosset's T-Down","'R'm Chair Quarterback",135.52,124.54,"7","Gosset's T-Down","'R'm Chair Quarterback",10.98
"'R'm Chair Quarterback","2-2-2 Mega-H-Ertz",106.9,96.6,"8","'R'm Chair Quarterback","2-2-2 Mega-H-Ertz",10.3
"Las Vegas Radians","'R'm Chair Quarterback",147.66,117.34,"9","Las Vegas Radians","'R'm Chair Quarterback",30.32
"Raw and Savage","'R'm Chair Quarterback",83.96,113.62,"10","'R'm Chair Quarterback","Raw and Savage",29.66
"Green Baye's Theorem","'R'm Chair Quarterback",98.92,165.22,"11","'R'm Chair Quarterback","Green Baye's Theorem",66.3
"'R'm Chair Quarterback","Epsilon Ballers",107.32,126.78,"12","Epsilon Ballers","'R'm Chair Quarterback",19.46
"'R'm Chair Quarterback","Team Guns N' Rosas",74.48,94,"13","Team Guns N' Rosas","'R'm Chair Quarterback",19.52
"'R'm Chair Quarterback","Gosset's T-Down",147.2,136.38,"14","'R'm Chair Quarterback","Gosset's T-Down",10.82
"Raw and Savage","Team Guns N' Rosas",94.44,118.9,"2","Team Guns N' Rosas","Raw and Savage",24.46
"Gosset's T-Down","Raw and Savage",107.56,94,"3","Gosset's T-Down","Raw and Savage",13.56
"Raw and Savage","Viking Joe Lindquist",81.42,87.88,"4","Viking Joe Lindquist","Raw and Savage",6.45999999999999
"Raw and Savage","2-2-2 Mega-H-Ertz",72.98,146.52,"5","2-2-2 Mega-H-Ertz","Raw and Savage",73.54
