"TeamA","TeamB","PointsA","PointsB","week","league"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"1","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"1","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"1","yahoo"
"Bama","Stampeders",124.34,124.28,"1","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"1","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"2","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"2","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"2","yahoo"
"Bama","Stampeders",124.34,124.28,"2","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"2","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"3","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"3","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"3","yahoo"
"Bama","Stampeders",124.34,124.28,"3","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"3","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"4","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"4","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"4","yahoo"
"Bama","Stampeders",124.34,124.28,"4","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"4","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"5","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"5","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"5","yahoo"
"Bama","Stampeders",124.34,124.28,"5","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"5","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"6","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"6","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"6","yahoo"
"Bama","Stampeders",124.34,124.28,"6","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"6","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"7","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"7","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"7","yahoo"
"Bama","Stampeders",124.34,124.28,"7","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"7","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"8","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"8","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"8","yahoo"
"Bama","Stampeders",124.34,124.28,"8","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"8","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"9","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"9","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"9","yahoo"
"Bama","Stampeders",124.34,124.28,"9","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"9","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"10","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"10","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"10","yahoo"
"Bama","Stampeders",124.34,124.28,"10","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"10","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"11","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"11","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"11","yahoo"
"Bama","Stampeders",124.34,124.28,"11","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"11","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"12","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"12","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"12","yahoo"
"Bama","Stampeders",124.34,124.28,"12","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"12","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"13","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"13","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"13","yahoo"
"Bama","Stampeders",124.34,124.28,"13","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"13","yahoo"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"14","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"14","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"14","yahoo"
"Bama","Stampeders",124.34,124.28,"14","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"14","yahoo"
