id,date,country,city,perp_group,fatalities,injured,target_type,region,attack_type,weapon_type,links,summary,taggedTopic
201610260031,2016-10-26,Philippines,Dahican,Unknown,1,0,Government (General),Southeast Asia,Assassination,Firearms,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201610260031,"Assailants shot and killed Fiscal Rolando Acido, a government prosecutor, outside the Hall of Justice in Dahican, Davao Oriental, Philippines. No group claimed responsibility for the incident.",acid
201605180014,2016-05-18,Iraq,Mosul,Islamic State of Iraq and the Levant (ISIL),25,0,Private Citizens & Property,Middle East & North Africa,Hostage Taking (Kidnapping),Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201605180014,"Assailants executed 25 people by placing them in nitric acid in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL), noting the victims were accused of working with security forces.",acid
201602200035,2016-02-20,India,Bastanar,Unknown,0,1,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201602200035,"Assailants threw acid in the face of Soni Sori on a road between Bastanar and Geedam in Dantewada district, Chhattisgarh state, India. Sori, an Aam Aadmi Party leader, was injured in the assault. No group claimed responsibility for the attack.",acid
201507040064,2015-07-04,Afghanistan,Herat,Unknown,0,3,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201507040064,"Two assailants threw acid at children in Herat city, Herat province, Afghanistan. At least three female students were injured in the attack. The assailants claimed responsibility and stated that the victims were targeted because they were pursuing an education.",acid
201505310006,2015-05-31,Iraq,Al-Baghdadi,Islamic State of Iraq and the Levant (ISIL),3,0,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201505310006,"Assailants fired rockets laced with chloric acid at a residential compound near Al Baghdadi, Al Anbar governorate, Iraq. Three children suffocated but survived the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",acid
201501120082,2015-01-12,India,Ujjain,Unknown,0,3,Violent Political Party,South Asia,Assassination,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201501120082,"Assailants stormed the residence of Muralidhar Kawra and threw acid on him and his family in Ujjain city, Madhya Pradesh state, India. Three people, including Kawra, a Bharatiya Janata Party (BJP) leader, were injured in the attack. No group claimed responsibility for the incident.",acid
201412120024,2014-12-12,West Bank and Gaza Strip,Betar Illit,Palestinian Extremists,0,6,Private Citizens & Property,Middle East & North Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201412120024,"An assailant posing as a hitchhiker attacked a family with acid and a screwdriver at a checkpoint near Gush Etzion, Betar Illit city, West Bank and Gaza Strip. The five family members were wounded in the attack and the assailant was wounded afterwards in retaliation by passersby. No group claimed responsibility for the incident.",acid
201412120019,2014-12-12,India,Siliguri district,Unknown,0,3,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201412120019,"Assailants threw acid at three women in Siliguri district, West Bengal state, India. The three civilians were wounded in the attack. No group claimed responsibility for the incident.",acid
201409100004,2014-09-10,Chile,Vina del Mar,Anarchists (suspected),0,2,Business,South America,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201409100004,"An explosive device detonated in a supermarket trash can in Vina del Mar city, Valparaiso province, Chile. Two people suffered hearing damage in the blast. No group claimed responsibility for the incident; however, sources suspected the involvement of anarchists.",acid
201409090002,2014-09-09,Chile,Vina del Mar,Anarchists (suspected),0,1,Business,South America,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201409090002,"An explosive device planted in a trash can detonated in a supermarket parking lot in Vina del Mar city, Valparaiso province, Chile. One person was wounded in the blast. No group claimed responsibility for the incident; however, authorities suspected that anarchists were involved.",acid
201407220010,2014-07-22,Pakistan,Mastung,Unknown,0,2,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201407220010,"Assailants threw acid in the faces of two sisters who were shopping in Mastung town, Balochistan province, Pakistan. Both women were injured in the attack. No group claimed responsibility for the incident.",acid
